source_id,tile_id,split,image_path,x,y,width,height,annotations
100100028,100100028__x0000_y0000,test,clean/100100028__x0000_y0000.bmp,0,0,1024,1024,[]
100100028,100100028__x0896_y0000,test,clean/100100028__x0896_y0000.bmp,896,0,1024,1024,[]
100100028,100100028__x1776_y0000,test,clean/100100028__x1776_y0000.bmp,1776,0,1024,1024,[]
100100065,100100065__x0000_y0000,test,clean/100100065__x0000_y0000.bmp,0,0,1024,1024,[]
100100065,100100065__x0896_y0000,test,clean/100100065__x0896_y0000.bmp,896,0,1024,1024,[]
100100065,100100065__x1776_y0000,test,clean/100100065__x1776_y0000.bmp,1776,0,1024,1024,[]
100100067,100100067__x0000_y0000,test,clean/100100067__x0000_y0000.bmp,0,0,1024,1024,[]
100100067,100100067__x0896_y0000,test,clean/100100067__x0896_y0000.bmp,896,0,1024,1024,[]
100100067,100100067__x1776_y0000,test,clean/100100067__x1776_y0000.bmp,1776,0,1024,1024,[]
100100082,100100082__x0000_y0000,test,clean/100100082__x0000_y0000.bmp,0,0,1024,1024,[]
100100082,100100082__x0896_y0000,test,clean/100100082__x0896_y0000.bmp,896,0,1024,1024,[]
100100082,100100082__x1776_y0000,test,clean/100100082__x1776_y0000.bmp,1776,0,1024,1024,[]
100100084,100100084__x0000_y0000,test,clean/100100084__x0000_y0000.bmp,0,0,1024,1024,[]
100100084,100100084__x0896_y0000,test,clean/100100084__x0896_y0000.bmp,896,0,1024,1024,[]
100100084,100100084__x1776_y0000,test,clean/100100084__x1776_y0000.bmp,1776,0,1024,1024,[]
100500012,100500012__x0000_y0000,test,clean/100500012__x0000_y0000.bmp,0,0,1024,1024,[]
100500012,100500012__x0896_y0000,test,clean/100500012__x0896_y0000.bmp,896,0,1024,1024,[]
100500012,100500012__x1776_y0000,test,clean/100500012__x1776_y0000.bmp,1776,0,1024,1024,[]
100500025,100500025__x0000_y0000,test,clean/100500025__x0000_y0000.bmp,0,0,1024,1024,[]
100500025,100500025__x0896_y0000,test,clean/100500025__x0896_y0000.bmp,896,0,1024,1024,[]
100500025,100500025__x1776_y0000,test,clean/100500025__x1776_y0000.bmp,1776,0,1024,1024,[]
100500027,100500027__x0000_y0000,test,clean/100500027__x0000_y0000.bmp,0,0,1024,1024,[]
100500027,100500027__x0896_y0000,test,clean/100500027__x0896_y0000.bmp,896,0,1024,1024,[]
100500027,100500027__x1776_y0000,test,clean/100500027__x1776_y0000.bmp,1776,0,1024,1024,[]
100500032,100500032__x0000_y0000,test,clean/100500032__x0000_y0000.bmp,0,0,1024,1024,[]
100500032,100500032__x0896_y0000,test,clean/100500032__x0896_y0000.bmp,896,0,1024,1024,[]
100500032,100500032__x1776_y0000,test,clean/100500032__x1776_y0000.bmp,1776,0,1024,1024,[]
100500033,100500033__x0000_y0000,test,clean/100500033__x0000_y0000.bmp,0,0,1024,1024,[]
100500033,100500033__x0896_y0000,test,clean/100500033__x0896_y0000.bmp,896,0,1024,1024,[]
100500033,100500033__x1776_y0000,test,clean/100500033__x1776_y0000.bmp,1776,0,1024,1024,[]
100500037,100500037__x0000_y0000,test,clean/100500037__x0000_y0000.bmp,0,0,1024,1024,[]
100500037,100500037__x0896_y0000,test,clean/100500037__x0896_y0000.bmp,896,0,1024,1024,[]
100500037,100500037__x1776_y0000,test,clean/100500037__x1776_y0000.bmp,1776,0,1024,1024,[]
100500040,100500040__x0000_y0000,test,clean/100500040__x0000_y0000.bmp,0,0,1024,1024,[]
100500040,100500040__x0896_y0000,test,clean/100500040__x0896_y0000.bmp,896,0,1024,1024,[]
100500040,100500040__x1776_y0000,test,clean/100500040__x1776_y0000.bmp,1776,0,1024,1024,[]
100500041,100500041__x0000_y0000,test,clean/100500041__x0000_y0000.bmp,0,0,1024,1024,[]
100500041,100500041__x0896_y0000,test,clean/100500041__x0896_y0000.bmp,896,0,1024,1024,[]
100500041,100500041__x1776_y0000,test,clean/100500041__x1776_y0000.bmp,1776,0,1024,1024,[]
100500044,100500044__x0000_y0000,test,clean/100500044__x0000_y0000.bmp,0,0,1024,1024,[]
100500044,100500044__x0896_y0000,test,clean/100500044__x0896_y0000.bmp,896,0,1024,1024,[]
100500044,100500044__x1776_y0000,test,clean/100500044__x1776_y0000.bmp,1776,0,1024,1024,[]
100500045,100500045__x0000_y0000,test,clean/100500045__x0000_y0000.bmp,0,0,1024,1024,[]
100500045,100500045__x0896_y0000,test,clean/100500045__x0896_y0000.bmp,896,0,1024,1024,[]
100500045,100500045__x1776_y0000,test,clean/100500045__x1776_y0000.bmp,1776,0,1024,1024,[]
100500049,100500049__x0000_y0000,test,clean/100500049__x0000_y0000.bmp,0,0,1024,1024,[]
100500049,100500049__x0896_y0000,test,clean/100500049__x0896_y0000.bmp,896,0,1024,1024,[]
100500049,100500049__x1776_y0000,test,clean/100500049__x1776_y0000.bmp,1776,0,1024,1024,[]
100500080,100500080__x0000_y0000,test,clean/100500080__x0000_y0000.bmp,0,0,1024,1024,[]
100500080,100500080__x0896_y0000,test,clean/100500080__x0896_y0000.bmp,896,0,1024,1024,[]
100500080,100500080__x1776_y0000,test,clean/100500080__x1776_y0000.bmp,1776,0,1024,1024,[]
100700002,100700002__x0000_y0000,test,clean/100700002__x0000_y0000.bmp,0,0,1024,1024,[]
100700002,100700002__x0896_y0000,test,clean/100700002__x0896_y0000.bmp,896,0,1024,1024,[]
100700002,100700002__x1776_y0000,test,clean/100700002__x1776_y0000.bmp,1776,0,1024,1024,[]
100700010,100700010__x0000_y0000,test,clean/100700010__x0000_y0000.bmp,0,0,1024,1024,[]
100700010,100700010__x0896_y0000,test,clean/100700010__x0896_y0000.bmp,896,0,1024,1024,[]
100700010,100700010__x1776_y0000,test,clean/100700010__x1776_y0000.bmp,1776,0,1024,1024,[]
100700011,100700011__x0000_y0000,test,clean/100700011__x0000_y0000.bmp,0,0,1024,1024,[]
100700011,100700011__x0896_y0000,test,clean/100700011__x0896_y0000.bmp,896,0,1024,1024,[]
100700011,100700011__x1776_y0000,test,clean/100700011__x1776_y0000.bmp,1776,0,1024,1024,[]
100700015,100700015__x0000_y0000,test,clean/100700015__x0000_y0000.bmp,0,0,1024,1024,[]
100700015,100700015__x0896_y0000,test,clean/100700015__x0896_y0000.bmp,896,0,1024,1024,[]
100700015,100700015__x1776_y0000,test,clean/100700015__x1776_y0000.bmp,1776,0,1024,1024,[]
101100030,101100030__x0000_y0000,test,clean/101100030__x0000_y0000.bmp,0,0,1024,1024,[]
101100030,101100030__x0896_y0000,test,clean/101100030__x0896_y0000.bmp,896,0,1024,1024,[]
101100030,101100030__x1776_y0000,test,clean/101100030__x1776_y0000.bmp,1776,0,1024,1024,[]
101100031,101100031__x0000_y0000,test,clean/101100031__x0000_y0000.bmp,0,0,1024,1024,[]
101100031,101100031__x0896_y0000,test,clean/101100031__x0896_y0000.bmp,896,0,1024,1024,[]
101100031,101100031__x1776_y0000,test,clean/101100031__x1776_y0000.bmp,1776,0,1024,1024,[]
101100035,101100035__x0000_y0000,test,clean/101100035__x0000_y0000.bmp,0,0,1024,1024,[]
101100035,101100035__x0896_y0000,test,clean/101100035__x0896_y0000.bmp,896,0,1024,1024,[]
101100035,101100035__x1776_y0000,test,clean/101100035__x1776_y0000.bmp,1776,0,1024,1024,[]
101100041,101100041__x0000_y0000,test,clean/101100041__x0000_y0000.bmp,0,0,1024,1024,[]
101100041,101100041__x0896_y0000,test,clean/101100041__x0896_y0000.bmp,896,0,1024,1024,[]
101100041,101100041__x1776_y0000,test,clean/101100041__x1776_y0000.bmp,1776,0,1024,1024,[]
101100063,101100063__x0000_y0000,test,clean/101100063__x0000_y0000.bmp,0,0,1024,1024,[]
101100063,101100063__x0896_y0000,test,clean/101100063__x0896_y0000.bmp,896,0,1024,1024,[]
101100063,101100063__x1776_y0000,test,clean/101100063__x1776_y0000.bmp,1776,0,1024,1024,[]
101500004,101500004__x0000_y0000,test,clean/101500004__x0000_y0000.bmp,0,0,1024,1024,[]
101500004,101500004__x0896_y0000,test,clean/101500004__x0896_y0000.bmp,896,0,1024,1024,[]
101500004,101500004__x1776_y0000,test,clean/101500004__x1776_y0000.bmp,1776,0,1024,1024,[]
101500006,101500006__x0000_y0000,test,clean/101500006__x0000_y0000.bmp,0,0,1024,1024,[]
101500006,101500006__x0896_y0000,test,clean/101500006__x0896_y0000.bmp,896,0,1024,1024,[]
101500006,101500006__x1776_y0000,test,clean/101500006__x1776_y0000.bmp,1776,0,1024,1024,[]
101500042,101500042__x0000_y0000,test,clean/101500042__x0000_y0000.bmp,0,0,1024,1024,[]
101500042,101500042__x0896_y0000,test,clean/101500042__x0896_y0000.bmp,896,0,1024,1024,[]
101500042,101500042__x1776_y0000,test,clean/101500042__x1776_y0000.bmp,1776,0,1024,1024,[]
101500043,101500043__x0000_y0000,test,clean/101500043__x0000_y0000.bmp,0,0,1024,1024,[]
101500043,101500043__x0896_y0000,test,clean/101500043__x0896_y0000.bmp,896,0,1024,1024,[]
101500043,101500043__x1776_y0000,test,clean/101500043__x1776_y0000.bmp,1776,0,1024,1024,[]
101500045,101500045__x0000_y0000,test,clean/101500045__x0000_y0000.bmp,0,0,1024,1024,[]
101500045,101500045__x0896_y0000,test,clean/101500045__x0896_y0000.bmp,896,0,1024,1024,[]
101500045,101500045__x1776_y0000,test,clean/101500045__x1776_y0000.bmp,1776,0,1024,1024,[]
101600008,101600008__x0000_y0000,test,clean/101600008__x0000_y0000.bmp,0,0,1024,1024,[]
101600008,101600008__x0896_y0000,test,clean/101600008__x0896_y0000.bmp,896,0,1024,1024,[]
101600008,101600008__x1776_y0000,test,clean/101600008__x1776_y0000.bmp,1776,0,1024,1024,[]
101600011,101600011__x0000_y0000,test,clean/101600011__x0000_y0000.bmp,0,0,1024,1024,[]
101600011,101600011__x0896_y0000,test,clean/101600011__x0896_y0000.bmp,896,0,1024,1024,[]
101600011,101600011__x1776_y0000,test,clean/101600011__x1776_y0000.bmp,1776,0,1024,1024,[]
101600018,101600018__x0000_y0000,test,clean/101600018__x0000_y0000.bmp,0,0,1024,1024,[]
101600018,101600018__x0896_y0000,test,clean/101600018__x0896_y0000.bmp,896,0,1024,1024,[]
101600018,101600018__x1776_y0000,test,clean/101600018__x1776_y0000.bmp,1776,0,1024,1024,[]
101600019,101600019__x0000_y0000,test,clean/101600019__x0000_y0000.bmp,0,0,1024,1024,[]
101600019,101600019__x0896_y0000,test,clean/101600019__x0896_y0000.bmp,896,0,1024,1024,[]
101600019,101600019__x1776_y0000,test,clean/101600019__x1776_y0000.bmp,1776,0,1024,1024,[]
101600020,101600020__x0000_y0000,test,clean/101600020__x0000_y0000.bmp,0,0,1024,1024,[]
101600020,101600020__x0896_y0000,test,clean/101600020__x0896_y0000.bmp,896,0,1024,1024,[]
101600020,101600020__x1776_y0000,test,clean/101600020__x1776_y0000.bmp,1776,0,1024,1024,[]
101600022,101600022__x0000_y0000,test,clean/101600022__x0000_y0000.bmp,0,0,1024,1024,[]
101600022,101600022__x0896_y0000,test,clean/101600022__x0896_y0000.bmp,896,0,1024,1024,[]
101600022,101600022__x1776_y0000,test,clean/101600022__x1776_y0000.bmp,1776,0,1024,1024,[]
101600024,101600024__x0000_y0000,test,clean/101600024__x0000_y0000.bmp,0,0,1024,1024,[]
101600024,101600024__x0896_y0000,test,clean/101600024__x0896_y0000.bmp,896,0,1024,1024,[]
101600024,101600024__x1776_y0000,test,clean/101600024__x1776_y0000.bmp,1776,0,1024,1024,[]
101600028,101600028__x0000_y0000,test,clean/101600028__x0000_y0000.bmp,0,0,1024,1024,[]
101600028,101600028__x0896_y0000,test,clean/101600028__x0896_y0000.bmp,896,0,1024,1024,[]
101600028,101600028__x1776_y0000,test,clean/101600028__x1776_y0000.bmp,1776,0,1024,1024,[]
101600060,101600060__x0000_y0000,test,clean/101600060__x0000_y0000.bmp,0,0,1024,1024,[]
101600060,101600060__x0896_y0000,test,clean/101600060__x0896_y0000.bmp,896,0,1024,1024,[]
101600060,101600060__x1776_y0000,test,clean/101600060__x1776_y0000.bmp,1776,0,1024,1024,[]
101600062,101600062__x0000_y0000,test,clean/101600062__x0000_y0000.bmp,0,0,1024,1024,[]
101600062,101600062__x0896_y0000,test,clean/101600062__x0896_y0000.bmp,896,0,1024,1024,[]
101600062,101600062__x1776_y0000,test,clean/101600062__x1776_y0000.bmp,1776,0,1024,1024,[]
101600070,101600070__x0000_y0000,test,clean/101600070__x0000_y0000.bmp,0,0,1024,1024,[]
101600070,101600070__x0896_y0000,test,clean/101600070__x0896_y0000.bmp,896,0,1024,1024,[]
101600070,101600070__x1776_y0000,test,clean/101600070__x1776_y0000.bmp,1776,0,1024,1024,[]
101600075,101600075__x0000_y0000,test,clean/101600075__x0000_y0000.bmp,0,0,1024,1024,[]
101600075,101600075__x0896_y0000,test,clean/101600075__x0896_y0000.bmp,896,0,1024,1024,[]
101600075,101600075__x1776_y0000,test,clean/101600075__x1776_y0000.bmp,1776,0,1024,1024,[]
101600078,101600078__x0000_y0000,test,clean/101600078__x0000_y0000.bmp,0,0,1024,1024,[]
101600078,101600078__x0896_y0000,test,clean/101600078__x0896_y0000.bmp,896,0,1024,1024,[]
101600078,101600078__x1776_y0000,test,clean/101600078__x1776_y0000.bmp,1776,0,1024,1024,[]
101600079,101600079__x0000_y0000,test,clean/101600079__x0000_y0000.bmp,0,0,1024,1024,[]
101600079,101600079__x0896_y0000,test,clean/101600079__x0896_y0000.bmp,896,0,1024,1024,[]
101600079,101600079__x1776_y0000,test,clean/101600079__x1776_y0000.bmp,1776,0,1024,1024,[]
101700016,101700016__x0000_y0000,test,clean/101700016__x0000_y0000.bmp,0,0,1024,1024,[]
101700016,101700016__x0896_y0000,test,clean/101700016__x0896_y0000.bmp,896,0,1024,1024,[]
101700016,101700016__x1776_y0000,test,clean/101700016__x1776_y0000.bmp,1776,0,1024,1024,[]
101700022,101700022__x0000_y0000,test,clean/101700022__x0000_y0000.bmp,0,0,1024,1024,[]
101700022,101700022__x0896_y0000,test,clean/101700022__x0896_y0000.bmp,896,0,1024,1024,[]
101700022,101700022__x1776_y0000,test,clean/101700022__x1776_y0000.bmp,1776,0,1024,1024,[]
101700025,101700025__x0000_y0000,test,clean/101700025__x0000_y0000.bmp,0,0,1024,1024,[]
101700025,101700025__x0896_y0000,test,clean/101700025__x0896_y0000.bmp,896,0,1024,1024,[]
101700025,101700025__x1776_y0000,test,clean/101700025__x1776_y0000.bmp,1776,0,1024,1024,[]
101700037,101700037__x0000_y0000,test,clean/101700037__x0000_y0000.bmp,0,0,1024,1024,[]
101700037,101700037__x0896_y0000,test,clean/101700037__x0896_y0000.bmp,896,0,1024,1024,[]
101700037,101700037__x1776_y0000,test,clean/101700037__x1776_y0000.bmp,1776,0,1024,1024,[]
101700042,101700042__x0000_y0000,test,clean/101700042__x0000_y0000.bmp,0,0,1024,1024,[]
101700042,101700042__x0896_y0000,test,clean/101700042__x0896_y0000.bmp,896,0,1024,1024,[]
101700042,101700042__x1776_y0000,test,clean/101700042__x1776_y0000.bmp,1776,0,1024,1024,[]
101700043,101700043__x0000_y0000,test,clean/101700043__x0000_y0000.bmp,0,0,1024,1024,[]
101700043,101700043__x0896_y0000,test,clean/101700043__x0896_y0000.bmp,896,0,1024,1024,[]
101700043,101700043__x1776_y0000,test,clean/101700043__x1776_y0000.bmp,1776,0,1024,1024,[]
101800008,101800008__x0000_y0000,test,clean/101800008__x0000_y0000.bmp,0,0,1024,1024,[]
101800008,101800008__x0896_y0000,test,clean/101800008__x0896_y0000.bmp,896,0,1024,1024,[]
101800008,101800008__x1776_y0000,test,clean/101800008__x1776_y0000.bmp,1776,0,1024,1024,[]
101900000,101900000__x0000_y0000,test,clean/101900000__x0000_y0000.bmp,0,0,1024,1024,[]
101900000,101900000__x0896_y0000,test,clean/101900000__x0896_y0000.bmp,896,0,1024,1024,[]
101900000,101900000__x1776_y0000,test,clean/101900000__x1776_y0000.bmp,1776,0,1024,1024,[]
101900006,101900006__x0000_y0000,test,clean/101900006__x0000_y0000.bmp,0,0,1024,1024,[]
101900006,101900006__x0896_y0000,test,clean/101900006__x0896_y0000.bmp,896,0,1024,1024,[]
101900006,101900006__x1776_y0000,test,clean/101900006__x1776_y0000.bmp,1776,0,1024,1024,[]
101900015,101900015__x0000_y0000,test,clean/101900015__x0000_y0000.bmp,0,0,1024,1024,[]
101900015,101900015__x0896_y0000,test,clean/101900015__x0896_y0000.bmp,896,0,1024,1024,[]
101900015,101900015__x1776_y0000,test,clean/101900015__x1776_y0000.bmp,1776,0,1024,1024,[]
101900044,101900044__x0000_y0000,test,clean/101900044__x0000_y0000.bmp,0,0,1024,1024,[]
101900044,101900044__x0896_y0000,test,clean/101900044__x0896_y0000.bmp,896,0,1024,1024,[]
101900044,101900044__x1776_y0000,test,clean/101900044__x1776_y0000.bmp,1776,0,1024,1024,[]
101900051,101900051__x0000_y0000,test,clean/101900051__x0000_y0000.bmp,0,0,1024,1024,[]
101900051,101900051__x0896_y0000,test,clean/101900051__x0896_y0000.bmp,896,0,1024,1024,[]
101900051,101900051__x1776_y0000,test,clean/101900051__x1776_y0000.bmp,1776,0,1024,1024,[]
101900056,101900056__x0000_y0000,test,clean/101900056__x0000_y0000.bmp,0,0,1024,1024,[]
101900056,101900056__x0896_y0000,test,clean/101900056__x0896_y0000.bmp,896,0,1024,1024,[]
101900056,101900056__x1776_y0000,test,clean/101900056__x1776_y0000.bmp,1776,0,1024,1024,[]
101900061,101900061__x0000_y0000,test,clean/101900061__x0000_y0000.bmp,0,0,1024,1024,[]
101900061,101900061__x0896_y0000,test,clean/101900061__x0896_y0000.bmp,896,0,1024,1024,[]
101900061,101900061__x1776_y0000,test,clean/101900061__x1776_y0000.bmp,1776,0,1024,1024,[]
101900062,101900062__x0000_y0000,test,clean/101900062__x0000_y0000.bmp,0,0,1024,1024,[]
101900062,101900062__x0896_y0000,test,clean/101900062__x0896_y0000.bmp,896,0,1024,1024,[]
101900062,101900062__x1776_y0000,test,clean/101900062__x1776_y0000.bmp,1776,0,1024,1024,[]
101900068,101900068__x0000_y0000,test,clean/101900068__x0000_y0000.bmp,0,0,1024,1024,[]
101900068,101900068__x0896_y0000,test,clean/101900068__x0896_y0000.bmp,896,0,1024,1024,[]
101900068,101900068__x1776_y0000,test,clean/101900068__x1776_y0000.bmp,1776,0,1024,1024,[]
102100011,102100011__x0000_y0000,test,clean/102100011__x0000_y0000.bmp,0,0,1024,1024,[]
102100011,102100011__x0896_y0000,test,clean/102100011__x0896_y0000.bmp,896,0,1024,1024,[]
102100011,102100011__x1776_y0000,test,clean/102100011__x1776_y0000.bmp,1776,0,1024,1024,[]
103000005,103000005__x0000_y0000,test,clean/103000005__x0000_y0000.bmp,0,0,1024,1024,[]
103000005,103000005__x0896_y0000,test,clean/103000005__x0896_y0000.bmp,896,0,1024,1024,[]
103000005,103000005__x1776_y0000,test,clean/103000005__x1776_y0000.bmp,1776,0,1024,1024,[]
103000025,103000025__x0000_y0000,test,clean/103000025__x0000_y0000.bmp,0,0,1024,1024,[]
103000025,103000025__x0896_y0000,test,clean/103000025__x0896_y0000.bmp,896,0,1024,1024,[]
103000025,103000025__x1776_y0000,test,clean/103000025__x1776_y0000.bmp,1776,0,1024,1024,[]
103000031,103000031__x0000_y0000,test,clean/103000031__x0000_y0000.bmp,0,0,1024,1024,[]
103000031,103000031__x0896_y0000,test,clean/103000031__x0896_y0000.bmp,896,0,1024,1024,[]
103000031,103000031__x1776_y0000,test,clean/103000031__x1776_y0000.bmp,1776,0,1024,1024,[]
103200084,103200084__x0000_y0000,test,clean/103200084__x0000_y0000.bmp,0,0,1024,1024,[]
103200084,103200084__x0896_y0000,test,clean/103200084__x0896_y0000.bmp,896,0,1024,1024,[]
103200084,103200084__x1776_y0000,test,clean/103200084__x1776_y0000.bmp,1776,0,1024,1024,[]
103300012,103300012__x0000_y0000,test,clean/103300012__x0000_y0000.bmp,0,0,1024,1024,[]
103300012,103300012__x0896_y0000,test,clean/103300012__x0896_y0000.bmp,896,0,1024,1024,[]
103300012,103300012__x1776_y0000,test,clean/103300012__x1776_y0000.bmp,1776,0,1024,1024,[]
103300014,103300014__x0000_y0000,test,clean/103300014__x0000_y0000.bmp,0,0,1024,1024,[]
103300014,103300014__x0896_y0000,test,clean/103300014__x0896_y0000.bmp,896,0,1024,1024,[]
103300014,103300014__x1776_y0000,test,clean/103300014__x1776_y0000.bmp,1776,0,1024,1024,[]
103300020,103300020__x0000_y0000,test,clean/103300020__x0000_y0000.bmp,0,0,1024,1024,[]
103300020,103300020__x0896_y0000,test,clean/103300020__x0896_y0000.bmp,896,0,1024,1024,[]
103300020,103300020__x1776_y0000,test,clean/103300020__x1776_y0000.bmp,1776,0,1024,1024,[]
103300022,103300022__x0000_y0000,test,clean/103300022__x0000_y0000.bmp,0,0,1024,1024,[]
103300022,103300022__x0896_y0000,test,clean/103300022__x0896_y0000.bmp,896,0,1024,1024,[]
103300022,103300022__x1776_y0000,test,clean/103300022__x1776_y0000.bmp,1776,0,1024,1024,[]
103300026,103300026__x0000_y0000,test,clean/103300026__x0000_y0000.bmp,0,0,1024,1024,[]
103300026,103300026__x0896_y0000,test,clean/103300026__x0896_y0000.bmp,896,0,1024,1024,[]
103300026,103300026__x1776_y0000,test,clean/103300026__x1776_y0000.bmp,1776,0,1024,1024,[]
103300031,103300031__x0000_y0000,test,clean/103300031__x0000_y0000.bmp,0,0,1024,1024,[]
103300031,103300031__x0896_y0000,test,clean/103300031__x0896_y0000.bmp,896,0,1024,1024,[]
103300031,103300031__x1776_y0000,test,clean/103300031__x1776_y0000.bmp,1776,0,1024,1024,[]
103300034,103300034__x0000_y0000,test,clean/103300034__x0000_y0000.bmp,0,0,1024,1024,[]
103300034,103300034__x0896_y0000,test,clean/103300034__x0896_y0000.bmp,896,0,1024,1024,[]
103300034,103300034__x1776_y0000,test,clean/103300034__x1776_y0000.bmp,1776,0,1024,1024,[]
103300036,103300036__x0000_y0000,test,clean/103300036__x0000_y0000.bmp,0,0,1024,1024,[]
103300036,103300036__x0896_y0000,test,clean/103300036__x0896_y0000.bmp,896,0,1024,1024,[]
103300036,103300036__x1776_y0000,test,clean/103300036__x1776_y0000.bmp,1776,0,1024,1024,[]
103300039,103300039__x0000_y0000,test,clean/103300039__x0000_y0000.bmp,0,0,1024,1024,[]
103300039,103300039__x0896_y0000,test,clean/103300039__x0896_y0000.bmp,896,0,1024,1024,[]
103300039,103300039__x1776_y0000,test,clean/103300039__x1776_y0000.bmp,1776,0,1024,1024,[]
103300040,103300040__x0000_y0000,test,clean/103300040__x0000_y0000.bmp,0,0,1024,1024,[]
103300040,103300040__x0896_y0000,test,clean/103300040__x0896_y0000.bmp,896,0,1024,1024,[]
103300040,103300040__x1776_y0000,test,clean/103300040__x1776_y0000.bmp,1776,0,1024,1024,[]
103300042,103300042__x0000_y0000,test,clean/103300042__x0000_y0000.bmp,0,0,1024,1024,[]
103300042,103300042__x0896_y0000,test,clean/103300042__x0896_y0000.bmp,896,0,1024,1024,[]
103300042,103300042__x1776_y0000,test,clean/103300042__x1776_y0000.bmp,1776,0,1024,1024,[]
103400036,103400036__x0000_y0000,test,clean/103400036__x0000_y0000.bmp,0,0,1024,1024,[]
103400036,103400036__x0896_y0000,test,clean/103400036__x0896_y0000.bmp,896,0,1024,1024,[]
103400036,103400036__x1776_y0000,test,clean/103400036__x1776_y0000.bmp,1776,0,1024,1024,[]
103400049,103400049__x0000_y0000,test,clean/103400049__x0000_y0000.bmp,0,0,1024,1024,[]
103400049,103400049__x0896_y0000,test,clean/103400049__x0896_y0000.bmp,896,0,1024,1024,[]
103400049,103400049__x1776_y0000,test,clean/103400049__x1776_y0000.bmp,1776,0,1024,1024,[]
103400059,103400059__x0000_y0000,test,clean/103400059__x0000_y0000.bmp,0,0,1024,1024,[]
103400059,103400059__x0896_y0000,test,clean/103400059__x0896_y0000.bmp,896,0,1024,1024,[]
103400059,103400059__x1776_y0000,test,clean/103400059__x1776_y0000.bmp,1776,0,1024,1024,[]
103500007,103500007__x0000_y0000,test,clean/103500007__x0000_y0000.bmp,0,0,1024,1024,[]
103500007,103500007__x0896_y0000,test,clean/103500007__x0896_y0000.bmp,896,0,1024,1024,[]
103500007,103500007__x1776_y0000,test,clean/103500007__x1776_y0000.bmp,1776,0,1024,1024,[]
103500043,103500043__x0000_y0000,test,clean/103500043__x0000_y0000.bmp,0,0,1024,1024,[]
103500043,103500043__x0896_y0000,test,clean/103500043__x0896_y0000.bmp,896,0,1024,1024,[]
103500043,103500043__x1776_y0000,test,clean/103500043__x1776_y0000.bmp,1776,0,1024,1024,[]
103700020,103700020__x0000_y0000,test,clean/103700020__x0000_y0000.bmp,0,0,1024,1024,[]
103700020,103700020__x0896_y0000,test,clean/103700020__x0896_y0000.bmp,896,0,1024,1024,[]
103700020,103700020__x1776_y0000,test,clean/103700020__x1776_y0000.bmp,1776,0,1024,1024,[]
103700021,103700021__x0000_y0000,test,clean/103700021__x0000_y0000.bmp,0,0,1024,1024,[]
103700021,103700021__x0896_y0000,test,clean/103700021__x0896_y0000.bmp,896,0,1024,1024,[]
103700021,103700021__x1776_y0000,test,clean/103700021__x1776_y0000.bmp,1776,0,1024,1024,[]
103700029,103700029__x0000_y0000,test,clean/103700029__x0000_y0000.bmp,0,0,1024,1024,[]
